"panel","item","value"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Favorable","1"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Unfavorable","0"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Confidence","100"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Favorable","0"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Unfavorable","1"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Confidence","100"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Best Case Scenario - Yes","1"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Best Case Scenario - No","0"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Best Case Scenario - Confidence","100"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Worst Case Scenario - Yes","0"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Worst Case Scenario - No","1"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Worst Case Scenario - Confidence","100"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Best Case Scenario - Yes","1"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Best Case Scenario - No","0"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Best Case Scenario - Confidence","100"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Worst Case Scenario - Yes","0"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Worst Case Scenario - No","1"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Worst Case Scenario - Confidence","100"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Acceptable in all locations","1"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Acceptable in a few locations","0"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Not acceptable anywhere","0"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Confidence","100"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Acceptable in all locations","0"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Acceptable in a few locations","0"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Not acceptable anywhere","1"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Confidence","100"
"Budget Units","Area unit","hectare"
"Budget Units","Currency","USD"
"Budget Panels","Annual Budget - Under-resourced (lower)",NA
"Budget Panels","Annual Budget - Well-resourced (upper)",NA
"Budget Panels","Annual Budget - Typical (best)",NA
"Budget Panels","Annual Budget - Confidence (%)","75"
"Budget Panels","One-Time Budget - Under-resourced (lower)",NA
"Budget Panels","One-Time Budget - Well-resourced (upper)",NA
"Budget Panels","One-Time Budget - Typical (best)",NA
"Budget Panels","One-Time Budget - Confidence (%)","75"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs walleye","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs yellow perch","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs pike","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs muskellunge","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs threatened and endangered species","1"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs yellow perch","0.333333333333333"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs black bass (SMB/LMB)","0.333333333333333"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs pike","0.142857142857143"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs muskellunge","0.142857142857143"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs threatened and endangered species","0.111111111111111"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs black bass (SMB/LMB)","0.333333333333333"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs pike","0.111111111111111"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs muskellunge","0.111111111111111"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs threatened and endangered species","0.111111111111111"
"Factor Weighting: Fish Species in Protected Embayment Habitat","black bass (SMB/LMB) vs pike","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","black bass (SMB/LMB) vs muskellunge","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","black bass (SMB/LMB) vs threatened and endangered species","0.111111111111111"
"Factor Weighting: Fish Species in Protected Embayment Habitat","pike vs muskellunge","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","pike vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Protected Embayment Habitat","muskellunge vs threatened and endangered species","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","Confidence (Factor Weighting: Fish Species in Protected Embayment Habitat)","75"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs lake whitefish","3"
