"panel","item","value"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Favorable","0.95"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Unfavorable","0.05"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Confidence","96"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Favorable","0.05"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Unfavorable","0.95"
"Best/Worst Case Panels","Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Confidence","95"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Best Case Scenario - Yes","0.9"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Best Case Scenario - No","0.1"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Best Case Scenario - Confidence","95"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Worst Case Scenario - Yes","0.1"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Worst Case Scenario - No","0.9"
"Best/Worst Case Panels","Deployable in a Reasonable Timeframe - Worst Case Scenario - Confidence","95"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Best Case Scenario - Yes","0.8"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Best Case Scenario - No","0.2"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Best Case Scenario - Confidence","95"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Worst Case Scenario - Yes","0.1"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Worst Case Scenario - No","0.9"
"Best/Worst Case Panels","Will the Control Tool Be Successful? - Worst Case Scenario - Confidence","95"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Acceptable in all locations","0.9"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Acceptable in a few locations","0.05"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Not acceptable anywhere","0.05"
"Best/Worst Case Panels","Social Acceptance - Best Case Scenario - Confidence","95"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Acceptable in all locations","0.07"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Acceptable in a few locations","0.6"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Not acceptable anywhere","0.33"
"Best/Worst Case Panels","Social Acceptance - Worst Case Scenario - Confidence","90"
"Budget Units","Area unit","acre"
"Budget Units","Currency","USD"
"Budget Panels","Annual Budget - Under-resourced (lower)",NA
"Budget Panels","Annual Budget - Well-resourced (upper)",NA
"Budget Panels","Annual Budget - Typical (best)",NA
"Budget Panels","Annual Budget - Confidence (%)","75"
"Budget Panels","One-Time Budget - Under-resourced (lower)",NA
"Budget Panels","One-Time Budget - Well-resourced (upper)",NA
"Budget Panels","One-Time Budget - Typical (best)",NA
"Budget Panels","One-Time Budget - Confidence (%)","75"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs walleye","1"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs yellow perch","3"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs pike","1"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs muskellunge","7"
"Factor Weighting: Fish Species in Protected Embayment Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs threatened and endangered species","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs yellow perch","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs pike","3"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs muskellunge","9"
"Factor Weighting: Fish Species in Protected Embayment Habitat","walleye vs threatened and endangered species","1"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs black bass (SMB/LMB)","1"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs pike","0.333333333333333"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs muskellunge","7"
"Factor Weighting: Fish Species in Protected Embayment Habitat","yellow perch vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Protected Embayment Habitat","black bass (SMB/LMB) vs pike","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","black bass (SMB/LMB) vs muskellunge","5"
"Factor Weighting: Fish Species in Protected Embayment Habitat","black bass (SMB/LMB) vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Protected Embayment Habitat","pike vs muskellunge","7"
"Factor Weighting: Fish Species in Protected Embayment Habitat","pike vs threatened and endangered species","0.2"
"Factor Weighting: Fish Species in Protected Embayment Habitat","muskellunge vs threatened and endangered species","0.111111111111111"
"Factor Weighting: Fish Species in Protected Embayment Habitat","Confidence (Factor Weighting: Fish Species in Protected Embayment Habitat)","96"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs lake whitefish","1"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs ciscoes","1"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs sculpins","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs walleye","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs yellow perch","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs black bass (SMB/LMB)","7"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs threatened and endangered species","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs ciscoes","1"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs sculpins","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs walleye","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs yellow perch","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs black bass (SMB/LMB)","7"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs threatened and endangered species","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs sculpins","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs walleye","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs yellow perch","1"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs walleye","0.2"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs yellow perch","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs black bass (SMB/LMB)","1"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs threatened and endangered species","0.2"
"Factor Weighting: Fish Species in Spawning Reef Habitat","walleye vs yellow perch","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","walleye vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","walleye vs threatened and endangered species","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","yellow perch vs black bass (SMB/LMB)","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","yellow perch vs threatened and endangered species","0.2"
"Factor Weighting: Fish Species in Spawning Reef Habitat","black bass (SMB/LMB) vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","Confidence (Factor Weighting: Fish Species in Spawning Reef Habitat)","95"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","lake trout vs prey/planktivore/forage fish (smelt, bloater, alewife)","1"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","lake trout vs ciscoes","1"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","lake trout vs trout and salmon","5"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs ciscoes","1"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs trout and salmon","3"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","ciscoes vs trout and salmon","5"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","Confidence (Factor Weighting: Fish Species in Open Water Pelagic Habitat)","85"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 2. phytoplankton","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 3. zooplankton","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 4. benthic community","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 5. reduce cyanobacteria","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 6. recreational use","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 7. surface water quality","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 3. zooplankton","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 4. benthic community","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 5. reduce cyanobacteria","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 6. recreational use","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 7. surface water quality","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 4. benthic community","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 5. reduce cyanobacteria","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 6. recreational use","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 7. surface water quality","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","4. benthic community vs 5. reduce cyanobacteria","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","4. benthic community vs 6. recreational use","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","4. benthic community vs 7. surface water quality","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","5. reduce cyanobacteria vs 6. recreational use","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","5. reduce cyanobacteria vs 7. surface water quality","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","6. recreational use vs 7. surface water quality","1"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","Confidence (Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat)","50"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","1. wetlands and coastal habitats vs 4. benthic community","1"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","1. wetlands and coastal habitats vs 8. Dioporeia recovery","1"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","4. benthic community vs 8. Dioporeia recovery","1"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","Confidence (Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats)","50"
