panel,item,value
Best/Worst Case Panels,Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Favorable,0.95
Best/Worst Case Panels,Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Unfavorable,0.05
Best/Worst Case Panels,Combined Costs and Benefits (Favorable / Unfavorable) - Best Case Scenario - Confidence,100
Best/Worst Case Panels,Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Favorable,0.05
Best/Worst Case Panels,Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Unfavorable,0.95
Best/Worst Case Panels,Combined Costs and Benefits (Favorable / Unfavorable) - Worst Case Scenario - Confidence,100
Best/Worst Case Panels,Deployable in a Reasonable Timeframe - Best Case Scenario - Yes,0.78
Best/Worst Case Panels,Deployable in a Reasonable Timeframe - Best Case Scenario - No,0.22
Best/Worst Case Panels,Deployable in a Reasonable Timeframe - Best Case Scenario - Confidence,95
Best/Worst Case Panels,Deployable in a Reasonable Timeframe - Worst Case Scenario - Yes,0.04
Best/Worst Case Panels,Deployable in a Reasonable Timeframe - Worst Case Scenario - No,0.96
Best/Worst Case Panels,Deployable in a Reasonable Timeframe - Worst Case Scenario - Confidence,96
Best/Worst Case Panels,Will the Control Tool Be Successful? - Best Case Scenario - Yes,0.7
Best/Worst Case Panels,Will the Control Tool Be Successful? - Best Case Scenario - No,0.3
Best/Worst Case Panels,Will the Control Tool Be Successful? - Best Case Scenario - Confidence,75
Best/Worst Case Panels,Will the Control Tool Be Successful? - Worst Case Scenario - Yes,0.15
Best/Worst Case Panels,Will the Control Tool Be Successful? - Worst Case Scenario - No,0.85
Best/Worst Case Panels,Will the Control Tool Be Successful? - Worst Case Scenario - Confidence,60
Best/Worst Case Panels,Social Acceptance - Best Case Scenario - Acceptable in all locations,0.9
Best/Worst Case Panels,Social Acceptance - Best Case Scenario - Acceptable in a few locations,0.05
Best/Worst Case Panels,Social Acceptance - Best Case Scenario - Not acceptable anywhere,0.05
Best/Worst Case Panels,Social Acceptance - Best Case Scenario - Confidence,90
Best/Worst Case Panels,Social Acceptance - Worst Case Scenario - Acceptable in all locations,0.1
Best/Worst Case Panels,Social Acceptance - Worst Case Scenario - Acceptable in a few locations,0.6
Best/Worst Case Panels,Social Acceptance - Worst Case Scenario - Not acceptable anywhere,0.3
Best/Worst Case Panels,Social Acceptance - Worst Case Scenario - Confidence,85
Budget Units,Area unit,acre
Budget Units,Currency,USD
Budget Panels,Annual Budget - Under-resourced (lower),400
Budget Panels,Annual Budget - Well-resourced (upper),800
Budget Panels,Annual Budget - Typical (best),600
Budget Panels,Annual Budget - Confidence (%),50
Budget Panels,One-Time Budget - Under-resourced (lower),200
Budget Panels,One-Time Budget - Well-resourced (upper),400
Budget Panels,One-Time Budget - Typical (best),300
Budget Panels,One-Time Budget - Confidence (%),50
Factor Weighting: Fish Species in Protected Embayment Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs walleye",0.333333333
Factor Weighting: Fish Species in Protected Embayment Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs yellow perch",1
Factor Weighting: Fish Species in Protected Embayment Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs black bass (SMB/LMB)",0.333333333
Factor Weighting: Fish Species in Protected Embayment Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs pike",1
Factor Weighting: Fish Species in Protected Embayment Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs muskellunge",0.333333333
Factor Weighting: Fish Species in Protected Embayment Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs threatened and endangered species",0.2
Factor Weighting: Fish Species in Protected Embayment Habitat,walleye vs yellow perch,5
Factor Weighting: Fish Species in Protected Embayment Habitat,walleye vs black bass (SMB/LMB),1
Factor Weighting: Fish Species in Protected Embayment Habitat,walleye vs pike,5
Factor Weighting: Fish Species in Protected Embayment Habitat,walleye vs muskellunge,1
Factor Weighting: Fish Species in Protected Embayment Habitat,walleye vs threatened and endangered species,0.2
Factor Weighting: Fish Species in Protected Embayment Habitat,yellow perch vs black bass (SMB/LMB),0.2
Factor Weighting: Fish Species in Protected Embayment Habitat,yellow perch vs pike,1
Factor Weighting: Fish Species in Protected Embayment Habitat,yellow perch vs muskellunge,0.333333333
Factor Weighting: Fish Species in Protected Embayment Habitat,yellow perch vs threatened and endangered species,0.2
Factor Weighting: Fish Species in Protected Embayment Habitat,black bass (SMB/LMB) vs pike,5
Factor Weighting: Fish Species in Protected Embayment Habitat,black bass (SMB/LMB) vs muskellunge,3
Factor Weighting: Fish Species in Protected Embayment Habitat,black bass (SMB/LMB) vs threatened and endangered species,0.333333333
Factor Weighting: Fish Species in Protected Embayment Habitat,pike vs muskellunge,0.333333333
Factor Weighting: Fish Species in Protected Embayment Habitat,pike vs threatened and endangered species,0.2
Factor Weighting: Fish Species in Protected Embayment Habitat,muskellunge vs threatened and endangered species,0.2
Factor Weighting: Fish Species in Protected Embayment Habitat,Confidence (Factor Weighting: Fish Species in Protected Embayment Habitat),70
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs lake whitefish,3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs ciscoes,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs sculpins,3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs walleye,1
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs yellow perch,3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs black bass (SMB/LMB),3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake trout vs threatened and endangered species,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,lake whitefish vs ciscoes,1
Factor Weighting: Fish Species in Spawning Reef Habitat,lake whitefish vs sculpins,3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake whitefish vs walleye,3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake whitefish vs yellow perch,3
Factor Weighting: Fish Species in Spawning Reef Habitat,lake whitefish vs black bass (SMB/LMB),1
Factor Weighting: Fish Species in Spawning Reef Habitat,lake whitefish vs threatened and endangered species,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,ciscoes vs sculpins,3
Factor Weighting: Fish Species in Spawning Reef Habitat,ciscoes vs walleye,3
Factor Weighting: Fish Species in Spawning Reef Habitat,ciscoes vs yellow perch,3
Factor Weighting: Fish Species in Spawning Reef Habitat,ciscoes vs black bass (SMB/LMB),1
Factor Weighting: Fish Species in Spawning Reef Habitat,ciscoes vs threatened and endangered species,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,sculpins vs walleye,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,sculpins vs yellow perch,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,sculpins vs black bass (SMB/LMB),0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,sculpins vs threatened and endangered species,0.2
Factor Weighting: Fish Species in Spawning Reef Habitat,walleye vs yellow perch,1
Factor Weighting: Fish Species in Spawning Reef Habitat,walleye vs black bass (SMB/LMB),1
Factor Weighting: Fish Species in Spawning Reef Habitat,walleye vs threatened and endangered species,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,yellow perch vs black bass (SMB/LMB),0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,yellow perch vs threatened and endangered species,0.2
Factor Weighting: Fish Species in Spawning Reef Habitat,black bass (SMB/LMB) vs threatened and endangered species,0.333333333
Factor Weighting: Fish Species in Spawning Reef Habitat,Confidence (Factor Weighting: Fish Species in Spawning Reef Habitat),55
Factor Weighting: Fish Species in Open Water Pelagic Habitat,"lake trout vs prey/planktivore/forage fish (smelt, bloater, alewife)",3
Factor Weighting: Fish Species in Open Water Pelagic Habitat,lake trout vs ciscoes,1
Factor Weighting: Fish Species in Open Water Pelagic Habitat,lake trout vs trout and salmon,0.333333333
Factor Weighting: Fish Species in Open Water Pelagic Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs ciscoes",1
Factor Weighting: Fish Species in Open Water Pelagic Habitat,"prey/planktivore/forage fish (smelt, bloater, alewife) vs trout and salmon",0.333333333
Factor Weighting: Fish Species in Open Water Pelagic Habitat,ciscoes vs trout and salmon,0.333333333
Factor Weighting: Fish Species in Open Water Pelagic Habitat,Confidence (Factor Weighting: Fish Species in Open Water Pelagic Habitat),60
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,1. wetlands and coastal habitats vs 2. phytoplankton,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,1. wetlands and coastal habitats vs 3. zooplankton,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,1. wetlands and coastal habitats vs 4. benthic community,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,1. wetlands and coastal habitats vs 5. reduce cyanobacteria,5
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,1. wetlands and coastal habitats vs 6. recreational use,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,1. wetlands and coastal habitats vs 7. surface water quality,1
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,2. phytoplankton vs 3. zooplankton,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,2. phytoplankton vs 4. benthic community,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,2. phytoplankton vs 5. reduce cyanobacteria,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,2. phytoplankton vs 6. recreational use,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,2. phytoplankton vs 7. surface water quality,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,3. zooplankton vs 4. benthic community,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,3. zooplankton vs 5. reduce cyanobacteria,3
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,3. zooplankton vs 6. recreational use,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,3. zooplankton vs 7. surface water quality,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,4. benthic community vs 5. reduce cyanobacteria,1
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,4. benthic community vs 6. recreational use,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,4. benthic community vs 7. surface water quality,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,5. reduce cyanobacteria vs 6. recreational use,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,5. reduce cyanobacteria vs 7. surface water quality,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,6. recreational use vs 7. surface water quality,0.333333333
Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat,Confidence (Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat),76
Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats,1. wetlands and coastal habitats vs 4. benthic community,3
Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats,1. wetlands and coastal habitats vs 8. Dioporeia recovery,3
Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats,4. benthic community vs 8. Dioporeia recovery,1
Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats,Confidence (Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats),65
Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats,2. phytoplankton vs 3. zooplankton,3
Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats,2. phytoplankton vs 5. reduce cyanobacteria,3
Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats,3. zooplankton vs 5. reduce cyanobacteria,3
